model,outcome,term,estimate,std_error,p_value,ci_low,ci_high,nobs,r_squared,control_var
rq1_any_treatment,Tolerance for future backsliding (re-election support),Intercept,4.605706789424347,0.9303338827226865,7.398671685453681e-07,2.782285885690571,6.429127693158122,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),C(selected_action)[T.Directing law enforcement to investigate politicians of the opposing party],-0.7237618180811151,0.7020812673281223,0.3025969087059367,-2.0998158162644724,0.6522921801022422,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),C(selected_action)[T.Manipulating geographic boundaries of election districts],-1.2339971663639355,0.6848228586828242,0.07155772634295096,-2.5762253051720343,0.10823097244416302,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),C(selected_action)[T.Prosecuting journalists for unfair news coverage],-0.5786190984999526,0.6310571954446974,0.3591927552605445,-1.8154684737564135,0.6582302767565082,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),C(selected_action)[T.Restructuring the state’s highest court in the incumbent’s favor],-0.3491585989587155,0.7797696145981106,0.6543181240943443,-1.8774789598096904,1.1791617618922596,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),treated_any,-0.06028726218627556,0.5979383646002093,0.9196892127886976,-1.2322249217774655,1.1116503974049143,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),baseline_affpol_abs,-0.0021077037254362105,0.00901882420231784,0.8152174995630499,-0.019784274344877357,0.015568866894004937,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),baseline_demnorms,-0.005533660008684743,0.12060472877406664,0.9634038129762063,-0.2419145847710769,0.23084726475370743,97.0,0.038502179825160354,baseline_affpol_abs
rq1_any_treatment,Tolerance for future backsliding (re-election support),party_id_7pt,-0.17577872585379928,0.14372273014085712,0.221314383751676,-0.45747010068964855,0.10591264898205,97.0,0.038502179825160354,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),Intercept,4.112493089210863,0.856023887577932,1.5538676934583864e-06,2.4347170996521523,5.790269078769574,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),C(selected_action)[T.Directing law enforcement to investigate politicians of the opposing party],-0.9011236435119945,0.7586032859349214,0.23488382123839402,-2.3879587624981813,0.5857114754741921,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),C(selected_action)[T.Manipulating geographic boundaries of election districts],-1.165042095108658,0.7262453300127779,0.10867017599698955,-2.5884567858741088,0.2583725956567928,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),C(selected_action)[T.Prosecuting journalists for unfair news coverage],-0.3833574691527572,0.6544451393048402,0.5580268618483856,-1.6660463720475425,0.899331433742028,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),C(selected_action)[T.Restructuring the state’s highest court in the incumbent’s favor],-0.12298055223189575,0.8178380911586973,0.8804705493623246,-1.725913756087928,1.4799526516241368,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),inparty_treat,0.5112354038125286,0.4644800063519706,0.27104387399372243,-0.39912868017626935,1.4215994878013265,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),baseline_affpol_abs,-0.0038807732575930898,0.00961883898313716,0.68661318289367,-0.0227333512376318,0.014971804722445619,76.0,0.10276580951924308,baseline_affpol_abs
rq2_inparty_vs_outparty,Tolerance for future backsliding (re-election support),baseline_demnorms,0.03918077235437062,0.12164489586052808,0.747383468517439,-0.19923884243538992,0.27760038714413116,76.0,0.10276580951924308,baseline_affpol_abs
